ingredient,food_description,ingredient_iD,carbs,cholesterol,fiber,calories,protein,sugar,monosaturated_fat,polysaturated_fat,saturated_fat,sodium
LUNCHEON MEAT,"LUNCHEON MEAT,PORK,CANNED",7045,2.1,62,0.0,334,12.5,0.0,14.29,3.56,10.79,1289
LUNCHEON MEAT,"LUNCHEON MEAT,PORK,BEEF",7047,2.33,55,0.0,353,12.59,0.0,15.09,3.74,11.59,1293
MORTADELLA,"MORTADELLA,BEEF,PORK",7050,3.05,56,0.0,311,16.37,0.0,11.38,3.12,9.51,1246
OLIVE LOAF,"OLIVE LOAF,PORK",7051,9.2,38,0.0,235,11.8,0.0,7.87,1.93,5.85,1484
PASTRAMI,"PASTRAMI,TURKEY",7052,1.79,68,0.100000001,133,16.3,3.339999914,2.131,1.635,1.699,981
PATE,"PATE,CHICKEN LIVER,CANNED",7053,6.55,391,0.0,201,13.45,0.0,5.28,2.46,4.0,386
PATE,"PATE,GOOSE LIVER,SMOKED,CND",7054,4.67,150,0.0,462,11.4,0.0,25.61,0.84,14.45,697
PATE,"PATE,LIVER,NOT SPECIFIED,CND",7055,1.5,255,0.0,319,14.2,0.0,12.36,3.16,9.57,697
No Category,PEPPERED LOAF  PORK  BF,7056,4.53,46,0.0,149,17.3,4.610000134,3.0,0.5,2.28,1523
PEPPERONI,"PEPPERONI,PORK,BEEF",7057,0.0,105,0.0,494,22.68,0.0,17.166,3.426,14.86,1653
PICKLE&PIMIENTO LOAF,"PICKLE&PIMIENTO LOAF,PORK",7058,8.46,58,1.5,225,11.23,8.460000038,7.06,2.804,5.287,1304
